[11/08/23, 12:07:11 PM] VIT AP. (cse) Freshers place🥳🥳🥳🥳🥳: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them. 
[11/08/23, 12:07:11 PM] ~ TanK-human: ‎~ TanK-human created this group 
[07/09/23, 8:58:36 AM] ~ Darshan. D: Try cheskondi
[07/09/23, 11:56:22 AM] ~ Aswin M: ‎~ Aswin M joined from the community
[07/09/23, 11:56:25 AM] ~ Tejas: ‎~ Tejas joined from the community
[07/09/23, 11:56:27 AM] ~ Sumanth: ‎~ Sumanth joined from the community
[07/09/23, 11:56:30 AM] ~ P Sampath Kumar: ‎~ P Sampath Kumar joined from the community
[07/09/23, 11:56:52 AM] ~ Atharva Yadav: ‎~ Atharva Yadav joined from the community
[07/09/23, 11:56:55 AM] ~ Rohitha: ‎~ Rohitha joined from the community
[07/09/23, 11:56:57 AM] ‪+91 70051 99340‬: ‎‪+91 70051 99340‬ joined from the community
[07/09/23, 11:57:04 AM] ~ Visnu Kumaar: ‎~ Visnu Kumaar joined from the community
[07/09/23, 11:57:10 AM] ~ yuvan: ‎~ yuvan joined from the community
[07/09/23, 11:57:25 AM] ~ Sairaj: ‎~ Sairaj joined from the community
[07/09/23, 11:57:26 AM] ~ D: ‎~ D joined from the community
[07/09/23, 11:57:29 AM] ~ Abhay Sharma: ‎~ Abhay Sharma joined from the community
[07/09/23, 11:57:32 AM] ~ Ankit Kumar Dey: ‎~ Ankit Kumar Dey joined from the community
[07/09/23, 11:53:23 AM] ~ TanK-human: ‎POLL:
Where from?(for dayscholars)
‎OPTION: Vijayawada (18 votes)
‎OPTION: Guntur (4 votes)
‎OPTION: Other (11 votes)
[07/09/23, 12:52:47 PM] ~ Akash: Abhi koi waiting area mai hai kya
[07/09/23, 12:55:50 PM] ~ TanK-human: Kahan?
[07/09/23, 12:57:48 PM] ~ Akash: Cb mai
[07/09/23, 12:57:57 PM] ~ TanK-human: Oh
[07/09/23, 12:57:58 PM] ~ TanK-human: Kk
[07/09/23, 12:59:19 PM] ~ TanK-human: ‎This message was deleted.
[07/09/23, 12:59:33 PM] ~ Gopesh: Cheppu bro
[07/09/23, 12:59:55 PM] ~ TanK-human: Private chat ki ra
[07/09/23, 1:00:05 PM] ~ Gopesh: Vachesa
[07/09/23, 1:33:34 PM] Tyagi !: Please add 8770201359....
[07/09/23, 1:55:54 PM] ~ TanK-human: Any dayscholars having EPT Tomorrow DM me
[07/09/23, 1:55:57 PM] ~ TanK-human: Quick
[07/09/23, 3:00:03 PM] ~ TanK-human: If anyone taking the bus from kalakshetram to VIT AP for EPT TOMORROW ie.08/09/2023 DM me
[07/09/23, 4:40:20 PM] ~ Dasaradhi Varma: ‎~ Dasaradhi Varma joined from the community
[07/09/23, 4:40:22 PM] ~ Rajveer Singh: ‎~ Rajveer Singh joined from the community
[07/09/23, 4:40:27 PM] ~ Chandra: ‎~ Chandra joined from the community
[07/09/23, 4:40:33 PM] ~ Raghav: ‎~ Raghav joined from the community
‎[07/09/23, 4:48:06 PM] ~ TanK-human: ‎image omitted
[07/09/23, 4:48:37 PM] ~ Sai Kiran Vanaparthi: everyone got it
[07/09/23, 4:48:46 PM] ~ Jeevan K: ‎This message was deleted.
[07/09/23, 4:48:53 PM] ~ TanK-human: Anyone going?
[07/09/23, 4:49:15 PM] ~ Sai Kiran Vanaparthi: me
[07/09/23, 4:49:36 PM] ~ TanK-human: If anyone taking the bus from kalakshetram to VIT AP for EPT TOMORROW ie.08/09/2023 DM me
[07/09/23, 6:50:08 PM] ~ Ayush Bhagasra: https://chat.whatsapp.com/GcgxqEdRJc94QanslB3jiH
[07/09/23, 6:53:30 PM] ~ Chandra: What is this bro
[07/09/23, 7:05:54 PM] ~ Jithendra: ‎This message was deleted.
[07/09/23, 7:06:21 PM] ~ Chandra: 🤦🏻‍♂️
[07/09/23, 7:06:31 PM] ~ Chandra: Just hell and heaven
[07/09/23, 7:11:09 PM] ~ Failed Experiment: This is not to create any sort of animosity.
[07/09/23, 7:11:17 PM] ~ Chiranjan: Lmao
[07/09/23, 7:11:21 PM] ~ Chiranjan: ‎This message was deleted.
[07/09/23, 7:11:29 PM] ~ Failed Experiment: We north indian are just kinda feeling out of place. We are all looking forward to meeting you guys
[07/09/23, 7:11:39 PM] ~ UtkarsH: Just for fun
[07/09/23, 7:11:42 PM] ~ Leorius28: Yesss
[07/09/23, 7:11:56 PM] ~ Leorius28: We just have to get accomodated first..
[07/09/23, 8:19:26 PM] ~ Rohith: ‎~ Rohith joined from the community
[07/09/23, 8:19:28 PM] ~ 😅: ‎~ 😅 joined from the community
[07/09/23, 8:22:59 PM] ~ Subhash Voonna: ‎~ Subhash Voonna joined from the community
[07/09/23, 8:23:05 PM] ~ !: ‎~ ! joined from the community
[08/09/23, 1:18:46 PM] ~ Ayush Bhagasra: ‎This message was deleted.
[08/09/23, 1:21:47 PM] ~ Ayush Bhagasra: https://chat.whatsapp.com/GcgxqEdRJc94QanslB3jiH
[08/09/23, 2:24:37 PM] ~ Chandra: There is no North India South Indian
[08/09/23, 2:24:41 PM] ~ Chandra: Only one India
[08/09/23, 2:28:28 PM] ~ Rohit: Bharat 💀💀🙏
[08/09/23, 3:26:28 PM] ~ Ayush Bhagasra: https://chat.whatsapp.com/GcgxqEdRJc94QanslB3jiH
[08/09/23, 4:34:07 PM] ~ P: Does anyone know if there are options available for lunch for day scholars, on campus?
[08/09/23, 4:35:26 PM] ~ Kaushik😁: Yes
[08/09/23, 4:35:55 PM] ~ Kaushik😁: You can have lunch in food street or in rock plaza canteen
[08/09/23, 4:36:35 PM] ~ P: Okay got it thanks
[08/09/23, 4:37:58 PM] ~ Kaushik😁: Welcome
[08/09/23, 5:02:57 PM] ~ K.Parthiv: Food street is not worth the cost
[08/09/23, 5:03:41 PM] ~ P: Oh ok.
[08/09/23, 5:03:55 PM] ~ P: Does anyone have a map of the blocks?
[08/09/23, 5:05:37 PM] ~ K.Parthiv: Ggl it 🥲
[08/09/23, 5:05:42 PM] ~ Chandra: ‎This message was deleted by admin ~ TanK-human.
[08/09/23, 5:06:07 PM] ~ Kaushik😁: Go to ab1 there is a mini structure of clg campus
[08/09/23, 5:06:29 PM] ~ K.Parthiv: Shes asking how to go there 😂
[08/09/23, 5:06:43 PM] ~ K.Parthiv: Btw it has unbuilt blocks also
[08/09/23, 5:07:39 PM] ~ P: Got it. Thanks.
[08/09/23, 5:13:38 PM] ~ Kaushik😁: Ask security
[08/09/23, 5:22:10 PM] ~ Abhinav: @919182750867 remove
[08/09/23, 5:47:02 PM] ~ Shanmukh: Clg main gate ke pass hai
[08/09/23, 6:03:34 PM] ~ محمد ناصر: Anyone can send me syllabus?
[08/09/23, 6:09:52 PM] ~ Jeevan K: Which syllabus
[08/09/23, 6:09:53 PM] ~ Jeevan K: ?
[08/09/23, 6:10:07 PM] ~ محمد ناصر: Like planner
[09/09/23, 2:04:43 PM] ~ P: Is it mandatory to attend the orientation? is there any attendance/biometric?
[09/09/23, 2:06:19 PM] ~ P: did anyone skip it and just watched the yt live stream?
[09/09/23, 2:06:23 PM] ~ M. Srinivasa Reddy: No
[09/09/23, 2:18:52 PM] ~ !: Yes I Skipped it
[09/09/23, 2:26:39 PM] ~ Chaitu: Do u attend r not
[09/09/23, 2:27:56 PM] ~ P: i am planning to not attend if it's the same thing in the yt stream
[09/09/23, 2:28:09 PM] ~ Soham P: what stream
[09/09/23, 2:28:19 PM] ~ Atmadip 🇮🇳: Same thing
[09/09/23, 2:29:59 PM] ~ Appu♡🪻: https://www.youtube.com/live/ISn3wDAAMYw?si=YHVaKDAzjlUtqyKU


Link to the orientation on 8th
[09/09/23, 2:30:10 PM] ~ Appu♡🪻: The livestream
[09/09/23, 2:32:02 PM] ~ TanK-human: Wait,  there was a live stream for the orientation inaugural function, right?
Not for orientation
[09/09/23, 2:32:31 PM] ~ Appu♡🪻: The whole thing was livestreamed
[09/09/23, 2:33:02 PM] ~ TanK-human: Kl
[09/09/23, 2:33:05 PM] ~ TanK-human: Kk
[09/09/23, 2:33:42 PM] ~ Soham P: accha ty bhai
[09/09/23, 2:34:02 PM] ~ TanK-human: Okay, just asking, My orientation was scheduled on 11th
[09/09/23, 2:34:11 PM] ~ TanK-human: So what's the difference ?
[09/09/23, 2:35:06 PM] ~ TanK-human: I am sending you guys the link to the official Mh3 Group. Our warden and other officials are also there in the group, so be careful with what you are texting in the group. (Only For Mh-3 People)
[09/09/23, 2:35:42 PM] ~ TanK-human: This was sent by seniors
[09/09/23, 2:38:09 PM] ~ Vinil Vege: ‎~ Vinil Vege joined from the community
[09/09/23, 2:38:13 PM] ~ Mohammed Aadil: ‎~ Mohammed Aadil joined from the community
[09/09/23, 2:38:14 PM] ~ Akki: ‎~ Akki joined from the community
[09/09/23, 2:36:01 PM] ~ TanK-human: https://chat.whatsapp.com/BQFDJphwJaK3BWySh33ygq
[09/09/23, 2:36:40 PM] ~ Appu♡🪻: U can go if u want to irl
[09/09/23, 2:38:05 PM] ~ TanK-human: Did anyone go today ?
[09/09/23, 2:46:36 PM] ~ AbnaV: Do you know if someone has for mh4?
[09/09/23, 3:00:17 PM] ~ Appu♡🪻: I dont know anyone who did
[09/09/23, 3:01:41 PM] ~ Udhay Adithya: Yes it is there
[09/09/23, 3:01:45 PM] ~ Udhay Adithya: For MH 4
[09/09/23, 3:02:08 PM] ~ AbnaV: Please share
[09/09/23, 3:02:24 PM] ~ Udhay Adithya: https://chat.whatsapp.com/JyCnhSWAifZ5XgynDv2g3H
[09/09/23, 3:02:26 PM] ~ AbnaV: Many
[09/09/23, 3:02:54 PM] ~ AbnaV: Oh i am already there
[09/09/23, 3:03:03 PM] ~ AbnaV: Like an official like mh3?
[09/09/23, 3:03:08 PM] ~ AbnaV: With wardens in grp?
[09/09/23, 3:03:19 PM] ~ Udhay Adithya: No
[09/09/23, 3:21:36 PM] ~ anshuman?¿: ‎~ anshuman?¿ joined from the community
[09/09/23, 3:21:40 PM] ~ Ojas: ‎~ Ojas joined from the community
[09/09/23, 3:21:44 PM] ~ Abhishekraj: ‎~ Abhishekraj joined from the community
[09/09/23, 3:21:55 PM] ~ Deepak: ‎~ Deepak joined from the community
[09/09/23, 3:21:57 PM] ~ Priyanshu Jha: ‎~ Priyanshu Jha joined from the community
[09/09/23, 3:21:58 PM] ~ Mounvik K: ‎~ Mounvik K joined from the community
[09/09/23, 3:22:04 PM] ~ ___sai__23: ‎~ ___sai__23 joined from the community
[09/09/23, 3:22:06 PM] ~ Vasu: ‎~ Vasu joined from the community
[09/09/23, 3:22:14 PM] ~ Arnab Mondal: ‎~ Arnab Mondal joined from the community
[09/09/23, 3:23:12 PM] ~ TanK-human: Well a senior said with wardens in.the group ‎<This message was edited>
[09/09/23, 3:45:02 PM] ~ Udhay Adithya: Ohh
[09/09/23, 3:45:05 PM] ~ Udhay Adithya: I don't know about that
[09/09/23, 3:51:03 PM] ~ TanK-human: Read it
[09/09/23, 3:55:02 PM] ~ Vedansh: Is there a group link for MH-4 hostel
[09/09/23, 3:57:39 PM] ~ Appu♡🪻: Go to the community in group info
U can find all the groups u might want to join
[09/09/23, 4:36:17 PM] ~ Udhay Adithya: That's for MH 3 grp
[09/09/23, 4:51:47 PM] ~ TanK-human: Kk
[09/09/23, 4:51:53 PM] ~ Ronit 🥢: ‎~ Ronit 🥢 joined from the community
[09/09/23, 4:51:59 PM] ~ ELUCHURI BAVAGHNA: ‎~ ELUCHURI BAVAGHNA joined from the community
[09/09/23, 4:52:02 PM] ~ KUMAR: ‎~ KUMAR joined from the community
[09/09/23, 4:52:09 PM] ~ Sathvik: ‎~ Sathvik joined from the community
[09/09/23, 4:52:16 PM] ~ PRANAV ⚡: ‎~ PRANAV ⚡ joined from the community
[09/09/23, 4:55:31 PM] ~ Soham P: kisi ke paas mess menu ka photo hai to bhej de
‎[09/09/23, 6:11:28 PM] ~ TanK-human: ‎image omitted
[09/09/23, 6:11:28 PM] ~ TanK-human: Someone lost their card
[09/09/23, 6:13:05 PM] ~ TanK-human: any MH3here?
[09/09/23, 6:15:06 PM] ~ Aakash Srivastava: ‎This message was deleted.
[09/09/23, 6:17:46 PM] ~ Abhinav Tyagi: 302C
[09/09/23, 6:33:13 PM] ~ Jithendra: ‎This message was deleted.
[09/09/23, 6:34:16 PM] ~ #Dev: ‎‎~ #Dev changed their phone number to a new number. ‎Tap to message or add the new number.
[09/09/23, 7:18:24 PM] ~ Ayush Bhagasra: https://chat.whatsapp.com/GcgxqEdRJc94QanslB3jiH
[09/09/23, 8:58:27 PM] ~ HIMANSHU KHALATKAR: ‎~ HIMANSHU KHALATKAR joined from the community
[09/09/23, 8:58:29 PM] ~ Leooooooo: ‎~ Leooooooo joined from the community
[09/09/23, 8:58:40 PM] ~ Nehru: ‎~ Nehru joined from the community
‎[09/09/23, 9:11:38 PM] ~ TanK-human: ‎image omitted
[09/09/23, 9:15:59 PM] ~ ...: ‎~ ... joined from the community
[09/09/23, 10:41:58 PM] ~ Chandra: There is no North India or South India
[09/09/23, 10:42:01 PM] ~ Chandra: Only one India
[09/09/23, 10:42:25 PM] ~ Jeevan K: 💥😄
[09/09/23, 10:42:28 PM] ~ Priyanshu Jha: Where are u from?
[09/09/23, 10:42:33 PM] ~ Priyanshu Jha: 🔥
[09/09/23, 10:42:35 PM] ~ Jeevan K: Shit bro
[09/09/23, 10:42:43 PM] ~ Jeevan K: He just said it*
[09/09/23, 10:42:48 PM] ~ Priyanshu Jha: 😂😂
[09/09/23, 10:42:58 PM] ~ Chandra: He asking me bro not u r s...
[09/09/23, 10:43:06 PM] ~ Jeevan K: 🥲
[09/09/23, 10:43:20 PM] ~ Chandra: 😆
[09/09/23, 10:43:20 PM] ~ Jeevan K: I'm saying about u bro
[09/09/23, 10:43:28 PM] ~ Priyanshu Jha: 😂
[09/09/23, 10:43:53 PM] ~ Chandra: Any free fire players?
[09/09/23, 10:43:59 PM] ~ Priyanshu Jha: Bgmi
[09/09/23, 10:44:01 PM] ~ Jeevan K: Us bro us
[09/09/23, 10:44:05 PM] ~ Jeevan K: 💥
[09/09/23, 10:44:18 PM] ~ Priyanshu Jha: Kisko us bola...? Bgmi ya ff
[09/09/23, 10:44:20 PM] ~ Priyanshu Jha: 😂
[09/09/23, 10:44:51 PM] ~ Jeevan K: Ff
[09/09/23, 10:44:59 PM] ~ Chandra: Yes
[10/09/23, 12:11:37 AM] ~ Vedansh: Until now, I have only seen people say there have Mh3 or Mh4
What the hell is going on in Mh5🧐
[10/09/23, 12:11:58 AM] ~ Shaurya Mudgal: It is still beign constructed
[10/09/23, 12:12:24 AM] ~ Vedansh: Ok 😮
[10/09/23, 10:28:08 AM] ~ TanK-human: https://youtube.com/shorts/tf2yp2ZUuKQ?si=x6f-df8Pjymuqsgv
[10/09/23, 10:28:09 AM] ~ TanK-human: This seems useful
[10/09/23, 10:28:10 AM] ~ TanK-human: Especially at VIT AP
[10/09/23, 10:53:20 AM] ~ anshuman?¿: lekin bro khatarnaak whiffs ke liye excuse haina hostel ping
[10/09/23, 10:53:22 AM] ~ anshuman?¿: kal bohot use kiya maine
[10/09/23, 11:11:06 AM] ~ S: ‎~ S joined from the community
[10/09/23, 11:11:09 AM] ~ Pushp: ‎~ Pushp joined from the community
[10/09/23, 11:11:11 AM] ~ John: ‎~ John joined from the community
[10/09/23, 11:11:12 AM] Vikhyaat : ‎Vikhyaat  joined from the community
‎[10/09/23, 11:11:41 AM] ~ TanK-human: WiFi Instruction 2023.pdf • ‎5 pages ‎document omitted
[10/09/23, 11:50:18 AM] ~ M. Srinivasa Reddy: https://youtu.be/g_JXNfRHGU4?si=_GOvmQU0z9PMlAgm
[10/09/23, 1:11:16 PM] ~ -..   .- - -: ‎~ -..   .- - - joined from the community
[10/09/23, 1:11:18 PM] ~ Tanuj Sangwan: ‎~ Tanuj Sangwan joined from the community
[10/09/23, 1:14:01 PM] ~ ~Adi🩶: ‎~ TanK-human added ~ ~Adi🩶
[10/09/23, 1:08:30 PM] ~ Chiranjan: 7848935883
[10/09/23, 1:11:19 PM] ~ Chiranjan: Add this no
[10/09/23, 1:20:50 PM] ‪+91 6281 831 345‬: ‎~ TanK-human added ‪+91 6281 831 345‬
[10/09/23, 2:48:40 PM] ~ Batman: ‎~ Batman joined from the community
[10/09/23, 2:48:48 PM] ~ Aditya Suhas: ‎~ Aditya Suhas joined from the community
[10/09/23, 3:06:54 PM] ~ S: Does anyone know whom to email to get back the 10th original certificate for passport purposes? Or maybe whom we can contact in person?
[10/09/23, 3:17:16 PM] ~ Ojas: SRS, CB I think
[10/09/23, 3:21:32 PM] ~ Batman: ‎This message was deleted.
[10/09/23, 3:22:57 PM] ~ Batman: ‎This message was deleted.
[10/09/23, 3:24:45 PM] ~ TanK-human: Guys note that there are two CSE freshers group.  Please join only one of the groups. Things posted here will also be posted there
[10/09/23, 3:37:48 PM] ~ Sanapala Saimani: Teeke
[10/09/23, 3:38:22 PM] ~ K.Parthiv: ‎This message was deleted.
[10/09/23, 3:38:40 PM] ~ Sanapala Saimani: ‎This message was deleted.
[10/09/23, 3:38:49 PM] ~ K.Parthiv: 😂
[10/09/23, 3:38:53 PM] ~ Sanapala Saimani: Mujhe Hindi nahi aata
[10/09/23, 3:39:01 PM] ~ K.Parthiv: Delete kar
[10/09/23, 3:39:16 PM] ~ K.Parthiv: Telugu ???
[10/09/23, 3:39:25 PM] ~ Sanapala Saimani: Ha avunu
[10/09/23, 3:39:50 PM] ~ K.Parthiv: Munde cheppali kada nuvvu
[10/09/23, 3:40:24 PM] ~ Sanapala Saimani: Yemani
[10/09/23, 3:40:32 PM] ~ K.Parthiv: Telugu ani
[10/09/23, 3:40:47 PM] ~ TanK-human: Says in hindi
[10/09/23, 3:41:02 PM] ~ K.Parthiv: 😂
[10/09/23, 3:41:08 PM] ~ TanK-human: English here boys
‎[10/09/23, 3:41:19 PM] ~ Sanapala Saimani: ‎sticker omitted
[10/09/23, 3:41:21 PM] ~ Sanapala Saimani: Ok sir
[10/09/23, 3:41:27 PM] ~ TanK-human: Some people have language problem
[10/09/23, 3:41:36 PM] ~ K.Parthiv: Dayscholar hai tu tujhe pakka telugu aata
[10/09/23, 3:41:45 PM] ~ TanK-human: S
[10/09/23, 3:42:03 PM] ~ K.Parthiv: Den how r u eng boi
[10/09/23, 3:42:40 PM] ~ Shiven: He's born nd brought up in Britain 🗿
[10/09/23, 3:42:40 PM] ~ K.Parthiv: ‎This message was deleted.
[10/09/23, 3:42:54 PM] ~ Shiven: ‎This message was deleted.
[10/09/23, 3:43:24 PM] ~ Shiven: ‎This message was deleted.
‎[10/09/23, 3:43:51 PM] ~ K.Parthiv: ‎sticker omitted
‎[10/09/23, 3:43:57 PM] ~ Shiven: ‎sticker omitted
‎[10/09/23, 3:44:07 PM] ~ Shiven: ‎sticker omitted
‎[10/09/23, 3:44:18 PM] ~ K.Parthiv: ‎sticker omitted
‎[10/09/23, 3:44:26 PM] ~ K.Parthiv: ‎sticker omitted
[10/09/23, 3:44:50 PM] ~ K.Parthiv: My dog dance sticker is missing 😭
‎[10/09/23, 3:45:24 PM] ~ Shiven: ‎sticker omitted
[10/09/23, 3:45:26 PM] ~ Shiven: 😃
‎[10/09/23, 3:45:48 PM] ~ K.Parthiv: ‎sticker omitted
[10/09/23, 3:46:08 PM] ~ K.Parthiv: Both r in sync lol
‎[10/09/23, 3:46:23 PM] ~ K.Parthiv: ‎image omitted
[10/09/23, 3:46:26 PM] ~ Shiven: Bruh 😂😂
[10/09/23, 3:46:45 PM] ~ Shiven: *Add to favorites*🗿
[10/09/23, 3:46:57 PM] ~ K.Parthiv: Its not dog its dawg
‎[10/09/23, 3:46:59 PM] ~ K.Parthiv: ‎sticker omitted
[10/09/23, 3:54:19 PM] ~ Shiven: ✌️
[10/09/23, 3:54:20 PM] ~ Shiven: 🗿
[10/09/23, 4:40:23 PM] ~ Arav Tripathi: ‎~ Arav Tripathi joined from the community
[10/09/23, 4:40:38 PM] ~ Mtkv: ‎~ Mtkv joined from the community
[10/09/23, 4:40:53 PM] ~ .: ‎~ . joined from the community
[10/09/23, 5:47:05 PM] ‪+91 76048 36578‬: ‎‪+91 76048 36578‬ joined from the community
[10/09/23, 7:49:17 PM] ~ Yash😎😎: Follow this link for Mini Militia Lobby😎: https://chat.whatsapp.com/EhQ4UkvbcMVDey4LsHVVwp
[10/09/23, 8:43:43 PM] ~ Yash😎😎: Follow this link for Mini Militia Lobby😎: https://chat.whatsapp.com/EhQ4UkvbcMVDey4LsHVVwp
[10/09/23, 8:59:30 PM] ~ ___sai__23: Follow this link to join my WhatsApp group: https://chat.whatsapp.com/FwkNnjnY1SII1r1Ux2YmDa
[10/09/23, 10:06:12 PM] ~ TanK-human: Deym , that game still exists? ‎<This message was edited>
[10/09/23, 10:06:44 PM] ~ V.K.T.: ‎~ V.K.T. joined from the community
[10/09/23, 10:06:48 PM] ~ manu: ‎~ manu joined from the community
[10/09/23, 10:07:00 PM] ~ +91 6281 084 948: ‎~ +91 6281 084 948 joined from the community
[10/09/23, 10:07:08 PM] ~ Abhinav...: ‎~ Abhinav... joined from the community
[10/09/23, 10:07:10 PM] ~ Pankaj Kumar: ‎~ Pankaj Kumar joined from the community
[10/09/23, 10:07:11 PM] Musa : ‎Musa  joined from the community
[10/09/23, 10:12:04 PM] ~ TanK-human: Any one here other than core and AIML?
[10/09/23, 10:12:13 PM] ~ TanK-human: Any IOT?
[11/09/23, 8:10:25 AM] ~ 𝙽𝙸𝚃𝙷𝙴𝚂𝙷 𝙺𝚄𝙼𝙰𝚁: Core🤝
[11/09/23, 8:26:18 AM] ~ Chaitu: ‎This message was deleted.
[11/09/23, 1:02:26 PM] ~ ~Kiran Katakam: ‎~ ~Kiran Katakam joined from the community
[11/09/23, 1:02:28 PM] ~ Kavin: ‎~ Kavin joined from the community
[11/09/23, 1:02:36 PM] ~ Pranav MS: ‎~ Pranav MS joined from the community
[11/09/23, 1:02:44 PM] ‪+91 90320 92838‬: ‎‪+91 90320 92838‬ joined from the community
[11/09/23, 1:02:47 PM] ‪+91 70931 85528‬: ‎‪+91 70931 85528‬ joined from the community
[11/09/23, 1:02:49 PM] ~ Mm: ‎~ Mm joined from the community
[11/09/23, 1:03:08 PM] ‪+91 93926 49071‬: ‎‪+91 93926 49071‬ joined from the community
[11/09/23, 1:03:13 PM] ~ Himagna Kashyap: ‎~ Himagna Kashyap joined from the community
[11/09/23, 1:03:30 PM] ~ ganeshchinthimi2005: ‎~ ganeshchinthimi2005 joined from the community
[11/09/23, 1:03:39 PM] ~ Intekhab Khan: ‎~ Intekhab Khan joined from the community
[11/09/23, 1:32:42 PM] ~ pranithreddy: ‎~ pranithreddy joined from the community
[11/09/23, 1:33:23 PM] ~ Hitesh Gehlot: ‎~ Hitesh Gehlot joined from the community
[11/09/23, 1:33:47 PM] ~ SM: ‎~ SM joined from the community
[11/09/23, 1:34:01 PM] ~ محمد سمير وهاب: ‎~ محمد سمير وهاب joined from the community
[11/09/23, 1:34:29 PM] ~ SR: ‎~ SR joined from the community
[11/09/23, 1:35:32 PM] ~ RANJAN V: ‎~ RANJAN V joined from the community
[11/09/23, 1:35:44 PM] ~ P. Lalit Kumar: ‎~ P. Lalit Kumar joined from the community
[11/09/23, 1:36:09 PM] ~ Lamuel Suhas: ‎~ Lamuel Suhas joined from the community
‎[11/09/23, 3:06:06 PM] ~ TanK-human: ‎image omitted
‎[11/09/23, 3:06:06 PM] ~ TanK-human: ‎image omitted
[11/09/23, 3:13:34 PM] ~ Nikhil Kusumuru: ‎~ Nikhil Kusumuru joined from the community
[11/09/23, 3:12:08 PM] ~ Chandra: Ept..?
[11/09/23, 3:12:34 PM] ~ TanK-human: What? No
[11/09/23, 3:12:42 PM] ~ Chandra: Thank God
[11/09/23, 3:12:50 PM] ~ Chandra: Then what are those
[11/09/23, 3:12:54 PM] ~ TanK-human: It's online test
[11/09/23, 3:13:15 PM] ~ TanK-human: In which direction that paper looks like EPT?
[11/09/23, 3:13:29 PM] ~ Chandra: I haven't written that exam...
[11/09/23, 3:13:43 PM] ~ Chandra: So I thought it was ept ..😁
[11/09/23, 3:14:21 PM] ~ محمد ناصر: Is this cse course test?
[11/09/23, 3:14:26 PM] ~ محمد ناصر: They didn't inform me about it
‎[11/09/23, 3:17:21 PM] ~ TanK-human: ‎image omitted
[11/09/23, 4:01:38 PM] ~ محمد ناصر: F for pay respect
[11/09/23, 4:01:44 PM] ~ محمد ناصر: For tan theta
[11/09/23, 4:48:25 PM] ~ TanK-human: Ok, did I miss something? Where did this F come from ?
[11/09/23, 4:56:31 PM] ~ Batman: Call of duty reference
[11/09/23, 4:56:57 PM] ~ TanK-human: Which one?
[11/09/23, 4:57:11 PM] ~ TanK-human: Mobile or MW?
[11/09/23, 4:57:27 PM] ~ Batman: Advanced warfare
[11/09/23, 5:07:00 PM] ~ Vaibhav Prakash: welcome to atlas security
[11/09/23, 5:07:32 PM] ~ Batman: 🐵
[11/09/23, 5:46:19 PM] ~ Darshan. D: _ok now these Papers belongs to our seniors?_
[11/09/23, 5:49:50 PM] ~ TanK-human: Yes
[11/09/23, 6:34:27 PM] ~ TanK-human: Did anyone get any mail?
[11/09/23, 6:35:19 PM] ~ TanK-human: About the orientation ?
[11/09/23, 6:35:50 PM] ~ TanK-human: Like, my orientation on  11th was cancelled.
[11/09/23, 6:36:03 PM] ~ TanK-human: When will it be held ?
[11/09/23, 6:40:40 PM] ~ Chaitu: For wt about
[11/09/23, 6:40:40 PM] ~ Chaitu: No
[11/09/23, 6:46:11 PM] ~ Krishna Teja Kagolanu: Bro, if anyone is interested in martial arts ,please join the group, i have took permission from sprt HOD to form a club.
[11/09/23, 6:46:12 PM] ~ Krishna Teja Kagolanu: https://chat.whatsapp.com/G9leEzehYJG6QfC52MwkQv
[11/09/23, 8:51:00 PM] ~ TanK-human: For CSE no need to report tomorrow right ?
[11/09/23, 8:52:54 PM] ~ Manasa: Bro if you get to know please inform me too
[11/09/23, 9:10:30 PM] ~ TanK-human: Name:Tanikonda Naveen
Block:MH-5
Room no:511
Mess card has lost please inform me if anyone find
[11/09/23, 9:10:46 PM] ~ TanK-human: Someone lost their card
[11/09/23, 9:24:58 PM] ~ Jithendra: ‎This message was deleted.
[11/09/23, 9:58:53 PM] ~ ~Kiran Katakam: Use English
[11/09/23, 10:00:18 PM] ~ Chandra Vineet: ‎~ Chandra Vineet joined from the community
[11/09/23, 10:00:22 PM] ‪+91 91 1591 992 9‬: ‎‪+91 91 1591 992 9‬ joined from the community
[11/09/23, 10:00:54 PM] ~ Mokshagna: ‎~ Mokshagna joined from the community
[11/09/23, 9:59:57 PM] ~ Jithendra: Ok
[11/09/23, 10:00:47 PM] ~ TanK-human: He said ' is it so?' ‎<This message was edited>
[11/09/23, 10:01:52 PM] ~ ~Kiran Katakam: ‎This message was deleted.
[11/09/23, 10:01:57 PM] ~ ~Kiran Katakam: ‎This message was deleted.
[11/09/23, 10:02:21 PM] ~ ~Kiran Katakam: Yeah
[11/09/23, 10:02:27 PM] ~ ~Kiran Katakam: Do you know telugu
[11/09/23, 10:07:04 PM] ~ K.Parthiv: He is dayscholar so obv he wud know
[11/09/23, 10:07:55 PM] ~ ~Kiran Katakam: I asked you
[11/09/23, 10:08:05 PM] ~ K.Parthiv: Ha vachu
[11/09/23, 10:08:14 PM] ~ ~Kiran Katakam: Nicee
[11/09/23, 10:34:22 PM] ~ Jithendra: ‎This message was deleted.
‎[11/09/23, 11:06:20 PM] ~ TanK-human: ‎image omitted
[11/09/23, 11:06:23 PM] ~ TanK-human: Anyone going?
[11/09/23, 11:06:35 PM] ~ Manasa: Yes
[11/09/23, 11:07:06 PM] ~ TanK-human: From guntur?
